organization,DISTRICT_ID,TYPE,COUNTY,COGO_ACRES,PLAT_ACRES,DIGITIZED,STATUS,CREATION_DATE,BNDRY_CHANGE,METHOD,SOURCE,ACCURACY,COMMENTS,INITIALS,UPDATED,TX_CNTY,FIPS,SHAPEAREA,SHAPELEN
Brazoria-Fort Bend County MUD 1,1664250,MUD,Brazoria,1761.404262,1762.12,N,A,2004/06/28 00:00:00+00,2013/11/01 00:00:00+00,MB,FN,NP, ,ks,2016/09/13 00:00:00+00,20,39,0.000663521,0.14982347
Waller County MUD 1,8341250,MUD,Waller,1470.130014,1464.77,N,A,2007/09/01 00:00:00+00,2009/03/05 00:00:00+00,MB,FN,NP,waller_mud1_*.txt,sae,2009/06/10 00:00:00+00,237,473,0.000555468,0.1017999
Fort Bend County MUD 47,3079984,MUD,Fort Bend,354.9588001,354.041,N,A,1983/03/08 00:00:00+00,2009/06/17 00:00:00+00,MB,FN,P,FtBendMud47.dwg/ ftbdmud47_*.txt,sae,2009/08/14 00:00:00+00,79,157,0.000133708,0.116142746
Harris County MUD 191,3737450,MUD,Harris,427.3667339,425.774,N,A,1980/12/09 00:00:00+00,2008/05/21 00:00:00+00,MB,FN,P,harrismud191-*.txt,sae,2009/08/14 00:00:00+00,101,201,0.000161657,0.180064915
Bell County WCID 6,1257000,WCID,Bell,29028.61695,0,Y,A,1957/12/02 00:00:00+00,,OSD,FN,NP,bell_wcid6.shp,SFA,2009/08/14 00:00:00+00,14,27,0.011104175,1.145920731
Morningstar Ranch MUD 1 of Parker County,5875000,MUD,Parker,377.2498318,375.47,N,I,2009/08/03 00:00:00+00,,MB,FN,P,mornginsratranchmud1.txt,se,2009/08/17 00:00:00+00,184,367,0.0001469,0.102718958
Belmont FWSD 1 of Denton County,1258525,FWSD,Denton,916.5287833,920.31,N,A,2007/07/24 00:00:00+00,2016/01/20 00:00:00+00,MB,FN,P, ,SPT,2020/05/20 00:00:00+00,61,121,0.000358319,0.098987811
Tradition MUD 1 of Denton County,7809500,MUD,Denton,432.701177,431.307,N,A,2006/12/05 00:00:00+00,,MB,FN,NP,tradition_mud1.shp,SFA,,61,121,0.000169029,0.074201479
Upton County Water District,8159000,OTH,Upton,795403.4236,799954,Y,A,1977/05/25 00:00:00+00,,OSD,FN,NP,upton_wd.shp,SFA,,231,461,0.305161601,2.207140636
Cinco Southwest MUD 4,2286796,MUD,Fort Bend,707.9465747,705.942,N,A,2007/03/07 00:00:00+00,2013/09/24 00:00:00+00,MB,FN,P, ,SPT,2020/05/22 00:00:00+00,79,157,0.000267111,0.099616737
Lake Weatherford MUD 1,5313794,MUD,Parker,714.2151539,714,N,I,2009/06/19 00:00:00+00,,MB,FN,P,lake_weatherford_mud1_*.shp,SFA,2009/09/02 00:00:00+00,184,367,0.000278251,0.1229815
Lake Weatherford MUD 2,5312397,MUD,Parker,1428.350549,1427.909,N,I,2009/06/19 00:00:00+00,,MB,FN,P,lake_weatherford_mud2_*.shp,SFA,2009/09/02 00:00:00+00,184,367,0.000556532,0.144525066
Fort Bend County MUD 204,3079588,MUD,Fort Bend,1406.551503,1411.108,N,I,2009/06/19 00:00:00+00,,MB,FN,NP,fort_bend_mud204.shp,SFA,2009/09/03 00:00:00+00,79,157,0.000530348,0.304455037
Fort Bend County MUD 203,3079576,MUD,Fort Bend,197.1332939,197.738,N,I,2009/06/19 00:00:00+00,,MB,FN,NP,fort_bend_mud203.shp,SFA,2009/09/04 00:00:00+00,79,157,7.44E-05,0.104896832
Fort Bend County MUD 202,3079564,MUD,Fort Bend,767.7647994,770.13,N,I,2009/06/19 00:00:00+00,,MB,FN,NP,fort_bend_mud202.shp,SFA,2009/09/04 00:00:00+00,79,157,0.000289701,0.134194276
Fort Bend County MUD 201,3079558,MUD,Fort Bend,1212.761867,1212.476,N,I,2009/06/19 00:00:00+00,,MB,FN,NP,fort_bend_mud201.shp,SFA,2009/09/04 00:00:00+00,79,157,0.00045764,0.221142169
Downtown Midland Management District,2748000,OTH,Midland,199.9764613,0,Y,I,2003/06/20 00:00:00+00,,OSD,MB/FN,NP,downtown_midland_md.shp,SFA,2009/09/04 00:00:00+00,165,329,7.72E-05,0.040461591
Brazoria County MUD 64,1636573,MUD,Brazoria,359.2233838,359.13,N,I,2009/06/19 00:00:00+00,,MB,FN,NP,brazoria_mud64.shp,SFA,2009/09/04 00:00:00+00,20,39,0.000134978,0.069738459
Gray County MUD 1,3408000,MUD,Gray,1265.253716,1265.08,N,I,2009/06/19 00:00:00+00,,MB,FN,NP,gray_mud1.shp,SFA,2009/09/04 00:00:00+00,90,179,0.000509172,0.135915129
Harris County Improvement District 8,3736920,OTH,Harris,104.2274239,104.196,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,harris_id8.shp,SFA,2009/09/09 00:00:00+00,101,201,3.93E-05,0.043108248
Harris County Improvement District 13,3736125,MMD,Harris,705.4582942,705.36,N,I,2009/05/27 00:00:00+00,,MB,FN,NP,harris_co_id13.shp,SFA,2009/09/09 00:00:00+00,101,201,0.000266862,0.110790875
Harris County Improvement District 15,3736407,MMD,Harris,593.8864073,593.9635,N,A,2009/06/19 00:00:00+00,2012/09/04 00:00:00+00,MB,FN,NP,harris_id15.shp,kp,2012/09/20 00:00:00+00,101,201,0.000224165,0.123100966
Hood County Grandbury MUD 1,4644500,MUD,Hood,2129.541981,2129.153,N,I,2009/09/01 00:00:00+00,,MB,FN,NP,hood_mud1.shp,SFA,2009/09/09 00:00:00+00,111,221,0.000826178,0.163336412
Hudspeth County Conservation & Reclamation District 1,4680000,WID,Hudspeth,20218.80434,20385.8,Y,A,1923/08/06 00:00:00+00,,OSD/MB,FN,NP,hudspeth_crd1.shp,SFA,2009/09/09 00:00:00+00,115,229,0.007747761,1.100388007
Lakeside Utillity & Reclamation District,5313000,MUD,Denton,851.6387461,852.1426,Y,I,1987/06/19 00:00:00+00,,MB,FN,NP,lakeside_urd.shp,SFA,2009/09/09 00:00:00+00,61,121,0.00033264,0.17092252
Harris County MUD 290,3737774,MUD,Harris,853.7997925,851,N,A,1985/02/13 00:00:00+00,2008/05/07 00:00:00+00,MB,FN,P,harrismud290*.txt,sae,2008/11/05 00:00:00+00,101,201,0.000322936,0.088291718
Montgomery County MUD 84,5858130,MUD,Montgomery,438.4114907,437.076,N,A,1993/11/12 00:00:00+00,2009/08/20 00:00:00+00,MB,FN,NP,montgomerymud84_*anx,kp,2009/10/19 00:00:00+00,170,339,0.000166026,0.104236851
Trinity Bay Conservation District,7990000,OTH,Chambers,339650.0708,0,Y,A,1949/05/27 00:00:00+00,,OSD,MAP,NP,trinity_bay_cd.shp,SFA,,36,71,0.128158213,2.034968099
Fort Bend County MUD 132 ,3073625,MUD,Fort Bend,604.3396393,604.179,N,A,2004/02/23 00:00:00+00,2011/09/13 00:00:00+00,MB,FN,NP,fortbendmud132_*.txt,kp,2012/02/28 00:00:00+00,79,157,0.000227946,0.115570457
Cypress Ranch WCID 1,2413100,WCID,Travis,450.8056166,446.32,N,A,2003/03/18 00:00:00+00,2005/12/21 00:00:00+00,D,CAD,NP,cypress ranch wcid 1 brd_061212,kp,2012/06/12 00:00:00+00,227,453,0.000171167,0.094049452
Viridian Municipal Management District,8324750,MMD,Tarrant,2128.748095,2016.48,N,I,2007/09/01 00:00:00+00,,E,SHP,NP,viridian_mmd_*.shp,kp,2012/04/17 00:00:00+00,220,439,0.000829253,0.219546874
El Paso County Water Improvement District 1,2870000,WID,El Paso,86967.00162,0, N,A,1917/05/22 00:00:00+00,,D,SHP,NP,epcwid1_boundary.shp,kp,2012/06/12 00:00:00+00,71,141,0.033455177,2.004020844
Pilot Knob MUD 5,7104197,MUD,Travis,461.3546814,461.331,N,A,2011/09/01 00:00:00+00,2019/08/20 00:00:00+00,MB,FN,P,p,ka,2020/04/07 00:00:00+00,227,453,0.00017472,0.106545149
Pilot Knob MUD 4,7104194,MUD,Travis,345.5750248,345.581,N,I,2011/09/01 00:00:00+00,,MB,FN,P,pilot knob mud4_*.txt,kp,2012/06/21 00:00:00+00,227,453,0.000130988,0.104593471
Chambers County Improvement District 1,2265300,MMD,Chambers,14057.8218,14030.8078,N,A,1993/05/25 00:00:00+00,2016/12/14 00:00:00+00,MB,MAP,NP, ,SPT,2020/05/29 00:00:00+00,36,71,0.005303767,0.545502819
Chambers County MUD 1,2265500,MUD,Chambers,558.3842987,559.6173,N,A,1981/03/17 00:00:00+00,2015/08/19 00:00:00+00,MB,FN,P, ,SPT,2020/05/26 00:00:00+00,36,71,0.000210873,0.139246056
Pilot Knob MUD 2,7104175,MUD,Travis,559.4947634,557.187,N,I,2011/09/01 00:00:00+00,,MB,FN,P,pilot knob mud2_*.txt,kp,2012/06/21 00:00:00+00,227,453,0.000211882,0.067697697
Montgomery County MUD 102,5857379,MUD,Montgomery,798.4465513,798.412,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,montgomery_mud102.shp,SFA,2009/09/09 00:00:00+00,170,339,0.00030235,0.172203128
Refugio County WCID 2,7281000,WCID,Refugio,515841.6313,0,Y,A,1960/03/28 00:00:00+00,,OSD,OTH,NP,refugio_wcid2.shp,SFA,2009/03/10 00:00:00+00,196,391,0.192072386,3.113592078
Harris County MUD 427,3316707,MUD,Harris,540.504938,542.061,N,I,2007/07/03 00:00:00+00,,MB,FN,NP,harrismud427.txt,sae,2009/03/12 00:00:00+00,101,201,0.000204317,0.058072054
Harris County MUD 428,3526921,MUD,Harris,523.6867904,521.731,N,I,2007/05/23 00:00:00+00,,MB,FN,NP,harrismud428.txt,sae,2009/03/12 00:00:00+00,101,201,0.000197951,0.071679573
Harris County MUD 429,3632028,MUD,Harris,542.1933865,542.802,N,I,2007/07/03 00:00:00+00,,MB,FN,NP,harrismud429_*.txt,sae,2009/03/12 00:00:00+00,101,201,0.000204929,0.114169372
First Colony MUD 10,3037150,MUD,Fort Bend,227.2096645,226.3424,N,A,2004/11/20 00:00:00+00,2008/11/12 00:00:00+00,MB,FN,NP,firstcolonymud10_*.txt,sae,2009/03/18 00:00:00+00,79,157,8.56E-05,0.155186225
Kaufman County FWSD 1D,5159952,FWSD,Kaufman,360.7976432,359.378,N,A,2007/05/17 00:00:00+00,2007/06/28 00:00:00+00,MB,FN,NP,kaufmanfwsd1d.txt,sae,2009/03/19 00:00:00+00,129,257,0.000140513,0.131854081
Coastal Water Authority,2309000,OTH,Harris,1149404.942,0,Y,A,1967/06/17 00:00:00+00,,OSD,MAPMB,NP,coastal_water_authority.shp,SFA,,101,201,0.434249735,7.632079886
Harris County Municipal Management District 1,3737010,MMD,Harris,912.784092,0,Y,A,1999/06/19 00:00:00+00,2014/12/17 00:00:00+00,OSD,MAP,NP,all osd,ks,2015/08/14 00:00:00+00,101,201,0.000344627,0.177997557
Galveston County WCID 8,3290000,WCID,Galveston,1203.698228,1198,N,A,1945/11/10 00:00:00+00,2007/11/15 00:00:00+00,E,DWG,NP,galvwcid8brd.shp,kp,2008/10/17 00:00:00+00,84,167,0.000452664,0.477893702
Matagorda County Drainage District 2,5700000,DD,Matagorda,123565.6353,0,Y,A,1912/01/27 00:00:00+00,,OSD,FN,NP,matagorda_co_dd2.shp,SFA,,161,321,0.046285727,1.194901656
Montgomery County MUD 98,5858331,MUD,Montgomery,238.8048768,238.11,N,A,2004/07/30 00:00:00+00,2013/03/07 00:00:00+00,MB,FN,P,montgomery_mud98 _*.txt,kp,2014/07/09 00:00:00+00,170,339,9.04E-05,0.054544799
Montgomery County MUD 94,5858170,MUD,Montgomery,669.13593,666.59,N,A,2002/09/11 00:00:00+00,2007/07/01 00:00:00+00,MB,FN,P,montgomerymud94_*.txt,sae,2008/11/05 00:00:00+00,170,339,0.000253417,0.071975705
Harris County MUD 572,9000011,MUD,Harris,55.65091976,54.749,N,I,2019/06/10 00:00:00+00,,MB,FN,P, ,ks,2019/09/20 00:00:00+00,101,201,2.11E-05,0.018641797
Aransas County WCID 1,1045100,WCID,Aransas,921.1351533,921.4,N,I,1978/10/18 00:00:00+00,,MB,FN,NP,aransas_wcid1.shp,SFA,2009/06/17 00:00:00+00,4,7,0.000342497,0.11049612
Brazoria County MUD 62,1636565,MUD,Brazoria,281.9020023,281.9482,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,brazoria_co_mud62.shp,SFA,2009/06/17 00:00:00+00,85,169,0.000105994,0.048391834
Cameron County Water Improvement District 17,2251000,WID,Cameron,1352.392122,1352.391,N,A,1930/08/11 00:00:00+00,,MB,FN,NP,cameron_co_wid17.shp,SFA,2009/06/17 00:00:00+00,31,61,0.000493662,0.211318425
Circle T MUD 1,2286900,MUD,Tarrant,429.9014026,429.8048,N,A,1987/11/03 00:00:00+00,,MB,FN,NP,circle_t_mud1.shp,SFA,2009/06/17 00:00:00+00,220,439,0.000167821,0.062620221
Crosswinds at South Lake Special Improvement District,2412150,OTH,Bexar,532.2490914,532.59,N,I,2006/08/01 00:00:00+00,,MB,FN,NP,crosswinds_southlake_sid.shp,SFA,2009/06/17 00:00:00+00,15,29,0.000199953,0.076384786
Dallas County Improvement District,2575500,MUD,Dallas,181.9277853,181.8928,N,I,1989/06/14 00:00:00+00,,MB,FN,NP,dallas_co_id.shp,SFA,2009/06/17 00:00:00+00,57,113,7.07E-05,0.055571714
Northlake MMD 1,5991750,MMD,Denton,1177.252181,1182.032,N,I,2017/08/09 00:00:00+00,2018/05/14 00:00:00+00,MB,FN,P, ,SPT,2019/10/24 00:00:00+00,61,121,0.000460135,0.095820062
Montgomery County MUD 177,5857682,MUD,Montgomery,208.4178105,208.41,N,I,2019/09/01 00:00:00+00,,MB,FN,P, ,SPT,2019/11/12 00:00:00+00,170,339,7.94E-05,0.041125589
SH130 MMD 1,7567434,MMD,Travis,1197.885093,1350.516,N,I,2019/06/07 00:00:00+00,,MB,FN,NP, ,ks,2019/11/20 00:00:00+00,227,453,0.000454357,0.186182291
West Pecos Management District,8474323,MMD,Reeves,1133.752224,1133.56,N,I,2019/06/04 00:00:00+00,,MB,FN,P, ,ks,2020/01/29 00:00:00+00,195,389,0.000435076,0.167877951
Denton County MUD 7,2722080,MUD,Denton,1026.039616,1027.0755,N,I,2007/09/01 00:00:00+00,,OSD,MBFN,NP,denton_co_mud7.shp,SFA,2009/06/17 00:00:00+00,61,121,0.000401969,0.109235041
Double Platinum Ranch WCID 1 of Grasyon County,2742500,WCID,Grayson,1215.834901,1219.983,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,double_platinum_ranch_wcid1.shp,SFA,2009/06/17 00:00:00+00,91,181,0.000477399,0.108991312
Ellis County FWSD 1,2833500,FWSD,Elllis,552.9771703,552.42,Y,A,2004/08/26 00:00:00+00,,OSD,MAPMB,NP,ellis_co_fwsd1.shp,SFA,2009/06/17 00:00:00+00,70,139,0.000214721,0.104921631
Fort Bend County MUD 183,3079482,MUD,Fort Bend,514.4000408,510.1,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,ft_bend_mud183.shp,SFA,2009/06/17 00:00:00+00,79,157,0.000193573,0.065101528
Galveston County MUD 65,3202508,MUD,Galveston,492.7999306,492.662,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,galveston_co_mud65.shp,SFA,2009/06/17 00:00:00+00,84,167,0.000185499,0.085915511
Polo Ridge FWSD,7117050,FWSD,Kaufman,822.2672653,822.1,N,A,2007/07/09 00:00:00+00,,MB,FN,NP,polo_ridge_fwsd.shp,SFA,2009/06/17 00:00:00+00,129,257,0.000319933,0.088828582
Bowie County LID 1,1565000,LID,Bowie,13469.61843,0,N,A,1912/12/16 00:00:00+00,,MB,FN,NP,bowie_lid1.shp,SFA,2009/06/17 00:00:00+00,19,37,0.005291052,0.420848834
Lamar County WCID 3 - Pine Creek,5334000,WCID,Lamar,114772.3944,0,Y,A,1957/03/11 00:00:00+00,,OSD,MB,NP,lamar_wcid3.shp,SFA,2009/04/29 00:00:00+00,139,277,0.045189484,1.243077667
Montgomery County MUD 160,5857578,MUD,Montgomery,140.6479619,140.66,N,I,2021/02/05 00:00:00+00,,MB,FN,P, ,ks,2021/08/20 00:00:00+00,170,339,5.34E-05,0.043887696
Montgomery County MUD 124,5857539,MUD,Montgomery,330.5929709,330.618,N,A,2007/09/01 00:00:00+00,,MB,FN,NP,montgomery_mud124.shp,SFA,2009/09/09 00:00:00+00,170,339,0.000125569,0.066983216
Montgomery County WCID 3,5861750,WCID,Montgomery,1411.624272,1411.45,Y,I,2009/06/19 00:00:00+00,,OSD,MB/FN,NP,montgomery_wcid3.shp,SFA,2009/09/09 00:00:00+00,170,339,0.000534336,0.159376409
Southeast Montgomery County MUD 1,7577855,MUD,Montgomery,314.8399598,314.951,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,se_montgomery_mud1.shp,SFA,2009/09/10 00:00:00+00,170,339,0.000119288,0.071419266
Waller County MUD 13,8341485,MUD,Waller,993.1131639,992.903,N,I,2009/06/19 00:00:00+00,,MB,FN,NP,waller_mud13.shp,SFA,2009/09/10 00:00:00+00,237,473,0.000374807,0.165022199
Case Creek MUD 1A,2255250,MUD,Grayson,734.2521205,734.245,N,I,2011/09/01 00:00:00+00,,MB,FB,NP,Only MB for one tract,gn,2021/08/27 00:00:00+00, , ,0.000288596,0.088382403
Waller County MUD 14,8341719,MUD,Waller,1064.750265,1064.491,N,I,2009/06/19 00:00:00+00,,MB,FN,NP,waller_mud14.shp,SFA,2009/09/10 00:00:00+00,237,473,0.000401862,0.117689826
Waller County MUD 15,8342188,MUD,Waller,565.0245274,564.883,N,I,2009/06/19 00:00:00+00,,MB,FN,NP,waller_mud15.shp,SFA,2009/09/10 00:00:00+00,237,473,0.000213227,0.059035642
Montgomery County MUD 127,5867540,MUD,Montgomery,429.7911845,429.3071,N,A,2008/08/22 00:00:00+00,2017/01/17 00:00:00+00,MB,FN,NP, ,SPT,2018/11/01 00:00:00+00,170,339,0.000162834,0.088657674
Starr County Drainage District,7596500,DD,Starr,786976.3369,0,N,I,2009/09/01 00:00:00+00,,SHP,OTH,NP,starr_dd.shp,SFA,2009/09/10 00:00:00+00,214,427,0.288493306,2.600330888
North Oak Cliff Municipal Management District,5996000,MMD,Dallas,459.5541216,457.719,N,I,2009/06/19 00:00:00+00,,MB,FN,NP,north_oak_cliff_mmd.shp,SFA,2009/09/10 00:00:00+00,57,113,0.000178957,0.330761371
Refugio County Navigation District,7270000,ND,Refugio,516072.9789,0,Y,I,1947/09/23 00:00:00+00,,OSD,OTH,NP,refugio_nd.shp,SFA,2009/04/15 00:00:00+00,196,391,0.192158637,3.071154277
Ward County Water Improvement District 2,8440000,WID,Ward,31472.94493,30798.157,N,A,1917/01/24 00:00:00+00,,MB,FN,NP,ward_wid2.shp,SFA,2009/04/15 00:00:00+00,238,475,0.01207173,1.356982633
Luce Bayou PUD,5540000,MUD,Harris,550.5353678,548.4282,N,A,1971/06/01 00:00:00+00,2006/12/05 00:00:00+00,MB,FN,NP,lucebayoupud_d.txt,kp,2007/08/15 00:00:00+00,101,201,0.000208441,0.119287152
Galveston County MUD 54  ,3200990,MUD,Galveston,279.6243339,279.5941,N,A,2005/06/17 00:00:00+00,2014/01/16 00:00:00+00,MB,FN,P,galvestonmud54_*.txt,kp,2014/11/17 00:00:00+00,84,167,0.000105175,0.057627918
Fort Bend County MUD 139,3082824,MUD,Fort Bend,332.4957488,332.627,N,A,2005/04/01 00:00:00+00,2016/09/12 00:00:00+00,MB,FN,P, ,ks,2017/07/06 00:00:00+00,79,157,0.000125281,0.053279753
Highlands at Mayfield Ranch MUD  ,4636250,MUD,Williamson,314.9358587,314.885,N,A,2005/07/01 00:00:00+00,2011/05/24 00:00:00+00,MB,FN,P,highlandsatmayfieldranchmud_*,kp,2012/03/08 00:00:00+00,246,491,0.000119839,0.054058323
Langham Creek UD,5355000, UD,Harris,954.6903952,951.6679,N,A,1969/05/22 00:00:00+00,2021/12/08 00:00:00+00,MB,FN,NP,acreage off,gn,2022/02/25 00:00:00+00,101,201,0.000360761,0.135086597
Brazoria County MUD 34,1635625,MUD,Brazoria,690.1645392,687.914,N,A,2004/08/30 00:00:00+00,2015/02/26 00:00:00+00,MB,FN,P,b,ks,2017/08/15 00:00:00+00,20,39,0.000259986,0.118509141
Harris County MUD 498,3742103,MUD,Harris,426.4750013,426.3,N,I,2011/04/13 00:00:00+00,,MB,FN,P,harrismud498_*.txt,kp,2012/03/20 00:00:00+00,101,201,0.000160816,0.110497047
Fort Bend County MUD 215,3086775,MUD,Fort Bend,577.7102,577.86,N,A,2014/11/13 00:00:00+00,2015/05/19 00:00:00+00,MB,FN,P, ,ks,2017/07/24 00:00:00+00,79,157,0.000217658,0.134957208
Addicks Utility District,985000,MUD,Harris,641.7225168,641.8383,N,A,1971/06/04 00:00:00+00,2015/09/08 00:00:00+00,MB,FN,P, ,ks,2017/07/26 00:00:00+00,101,201,0.000242373,0.099723853
Kingsland MUD,5196200,MUD,Llano,4129.205232,0,N,A,1972/12/19 00:00:00+00,2016/12/30 00:00:00+00,E,SHP,NP, ,ks,2017/08/15 00:00:00+00,150,229,0.00157272,1.011918755
Brazoria County MUD 31,1635594,MUD,Brazoria,917.5252144,977.022,N,A,2005/09/02 00:00:00+00,2015/07/23 00:00:00+00,Mb,FN,NP, ,ks,2017/08/15 00:00:00+00,20,39,0.000345299,0.15584069
Great Southwest Improvement District,3413300,OTH,Tarrant,3524.159111,3510,N,I,2003/06/20 00:00:00+00,,MB,FN,NP,freat_sw_id.shp,SFA,2009/04/16 00:00:00+00,220,439,0.001372011,0.284994437
Booth Ranch MUD,1561750,MUD,Fort Bend,915.9764431,915.7374,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,booth_ranch_mud.shp,SFA,2009/04/22 00:00:00+00,79,157,0.000345039,0.111851787
Highland MUD,4635000,MUD,Galveston,604.2940908,602.3429,Y,I,1967/06/16 00:00:00+00,,OSD,MBMAP,NP,highland_mud.shp,SFA,2009/04/22 00:00:00+00,84,167,0.000227193,0.082338976
Tom Green County WCID 1,7800000,WCID,Tom Green,29837.26217,30000,Y,A,1957/01/21 00:00:00+00,,OSD,MAP,NP,tom_green_wcid1.shp,SFA,2009/04/22 00:00:00+00,226,451,0.011458419,0.589361605
Harris County Road Improvement District 2,3739500,OTH,Harris,169.3705564,168.721,N,I,2003/06/21 00:00:00+00,,MB,FN,NP,harris_rid2.shp,SFA,,101,201,6.41E-05,0.067898345
Harris County MUD 499,3737102,MUD,Harris,299.8911666,298.8,N,A,2007/04/26 00:00:00+00,2008/06/17 00:00:00+00,MB,FN,P,harrismud499_*.txt,sae,2008/11/07 00:00:00+00,101,201,0.000113407,0.116470969
Denton County FWSD 7,2721850,FWSD,Denton,1071.126846,1068.5,Y,A,2000/05/09 00:00:00+00,2007/09/27 00:00:00+00,MB,MAPMB,NP,dentonfwsd7.txt - s&e; 50 ft circle,kp,2008/07/11 00:00:00+00,61,121,0.000418685,0.37232214
South Texas Water Authority ,7585300,MUD,Kleberg,307931.7866,0,Y,A,1979/06/06 00:00:00+00,,MAP,MAP,NP,Insufficient information,rj,2000/09/21 00:00:00+00,178,355,0.113939406,2.460471457
Pilot Knob MUD 1,7104150,MUD,Travis,339.7116854,339.69,N,I,2011/09/01 00:00:00+00,,MB,FN,P,pilot knob mud1_*.txt,kp,2012/06/21 00:00:00+00,227,453,0.000128728,0.070953175
Ranch at Cypress Creek MUD 1,7175400,MUD,Travis,346.9790946,346.92,N,A,1990/07/27 00:00:00+00,,MB,MAP,P,ranch at cypress creek mud 1.txt,kp,2012/04/25 00:00:00+00,227,453,0.000131924,0.101448917
Prestonwood Forest Utility District,7156000,MUD,Harris,423.8820922,423.7612,N,A,1969/05/06 00:00:00+00,2001/07/12 00:00:00+00,MB,FN,P,prestonwood forest ud_*.txt,kp,2012/06/11 00:00:00+00,101,201,0.000160501,0.145778446
Williamson County MUD 16,8664210,MUD,Williamson,152.2513294,151.62,N,I,2005/09/01 00:00:00+00,,MB,FN,NP,williamson_mud16.shp,SFA,,246,491,5.80E-05,0.036644305
Willacy County Drainage District 2,8648000,DD,Willacy,33006.23309,0,N,A,1969/03/11 00:00:00+00,,MB,FN,NP,willacy_co_dd2.shp,SFA,,245,489,0.012092274,0.794786779
Cameron County Drainage District 3,1950000,DD,Cameron,95112.9687,0,Y,A,1912/05/13 00:00:00+00,,OSD,MAP,NP,cameron_co_dd3.shp,SFA,,31,61,0.034750285,1.396723059
Cameron County Drainage District 4,1970000,DD,Cameron,11829.14073,0,Y,A,1923/10/11 00:00:00+00,,OSD,MAP,NP,cameron_co_dd4.shp,SFA,,31,61,0.00432062,0.336195971
Hays County MUD 5,4420720,MUD,Hays,843.3527509,840.04,N,A,2003/07/15 00:00:00+00,2008/05/17 00:00:00+00,MB,FN,P,HaysMUD5_*.txt,kp,2008/10/02 00:00:00+00,105,209,0.000319629,0.106689176
Cameron County Irrigation District 16,2250000,ID,Cameron,2168.351448,0,Y,A,1930/04/14 00:00:00+00,,OSD,MAP,NP,cameron_co_id16.shp,SFA,,31,61,0.000791527,0.193171112
Liberty County MUD 5,5423000,MUD,Liberty,628.8802425,628.863,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,liberty_mud5.shp,SFA,2009/04/29 00:00:00+00,146,291,0.000238133,0.089824187
Montgomery County MUD 104,5857402,MUD,Montgomery,1073.364693,1073.141,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,montgomery_mud104.shp,SFA,2009/09/09 00:00:00+00,170,339,0.000406374,0.103309393
Montgomery County MUD 117,5857531,MUD,Montgomery,1411.61823,1411.45,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,montgomery_mud117.shp,SFA,2009/09/09 00:00:00+00,170,339,0.000534335,0.159375535
Harris County MUD 189,3737446,MUD,Harris,519.3701143,519.396,N,A,1979/11/13 00:00:00+00,2010/10/04 00:00:00+00,MB,FN,P,harrismud189_*.txt,kp,2012/03/29 00:00:00+00,101,201,0.000196491,0.187287617
Spring West MUD ,7593525,MUD,Harris,545.8314197,545.8318,N,A,1978/07/25 00:00:00+00,2014/12/23 00:00:00+00,MB,FN,P,springwestmud_*.txt,ks,2015/04/09 00:00:00+00,101,201,0.000206655,0.184302306
Harris County WCID 132,4241320,MUD,Harris,326.734634,326.6346,N,A,1969/05/06 00:00:00+00,,MB,FN,P,harriswcid132_*.txt,kp,2012/04/19 00:00:00+00,101,201,0.000123659,0.071520286
Bell County MUD 1,1218500,MUD,Bell,530.2035027,534.66,N,I,2012/03/07 00:00:00+00,,MB,FN,P,bellmud1.txt,kp,2012/04/19 00:00:00+00,14,27,0.000202698,0.079383633
Harris-Waller Counties MUD 2 ,3908823,MUD,Harris,241.7443844,241.667,N,I,2012/08/14 00:00:00+00,,MB,FN,P,harriswallmud2_*.txt,kp,2012/08/22 00:00:00+00,101,201,9.13E-05,0.049015816
East Cedar Creek FWSD,2799100,MUD,Henderson,10243.36534,12800,Y,A,1977/08/29 00:00:00+00,2012/07/02 00:00:00+00,SHP D,MAP,NP,east cedar creek fwsd_2012.shp,kp,2012/08/21 00:00:00+00,107,213,0.003969404,1.333479081
Westwood Magnolia Parkway Improvement District,7586950,OTH,Montgomery,311.1619391,311.6,N,I,2003/06/18 00:00:00+00,2012/02/20 00:00:00+00,MB,FN,NP,wwood_magnolia_prkwat_id.*,kp,2012/03/29 00:00:00+00,170,339,0.000117987,0.311049512
Fort Bend County MUD 207,3079594,MUD,Fort Bend,298.263295,298.384,N,A,2013/07/08 00:00:00+00,2014/07/09 00:00:00+00,MB,FN,P, ,ks,2017/07/20 00:00:00+00,79,157,0.000112357,0.076173395
